1,1,1,1,1.0857,1.0951,1,1,1.0988,1,1,1.0932,1,1.0963,1,1,1.089,1,1.0959,1.0878,1,1,1,1,1.0857,1.0951,1,1,1.0988,1,1,1.0932,1,1.0963,1,1,1.089,1,1.0959,1.0878,1,1,1,1,1.0857,1.0951,1,1,1.0988,1,1,1.0932,1,1.0963,1,1,1.089,1,1.0959,1.0878,1,1,1,1,1.0857,1.0951,1,1,1.0988,1,1,1.0932,1,1.0963,1,1,1.089,1,1.0959,1.0878,1,1,1,1,1.0857,1.0951,1,1,1.0988,1,1,1.0932,1,1.0963,1,1,1.089,1,1.0959,1.0878,1,1,1,1,1.0857,1.0951,1,1,1.0988,1,1,1.0932,1,1.0963,1,1,1.089,1,1.0959,1.0878,1,1,1,1,1.0857,1.0951,1,1,1.0988,1,1,1.0932,1,1.0963,1,1,1.089,1,1.0959,1.0878,1,1,1,1,1.0857,1.0951,1,1,1.0988,1,1,1.0932,1,1.0963,1,1,1.089,1,1.0959,1.0878,1,1,1,1,1.0857,1.0951,1,1,1.0988,1,1,1.0932,1,1.0963,1,1,1.089,1,1.0959,1.0878,1,1,1,1,1.0857,1.0951,1,1,1.0988,1,1,1.0932,1,1.0963,1,1,1.089,1,1.0959,1.0878,1,1,1,1,1.0857,1.0951,1,1,1.0988,1,1,1.0932,1,1.0963,1,1,1.089,1,1.0959,1.0878,1,1,1,1,1.0857,1.0951,1,1,1.0988,1,1,1.0932,1,1.0963,1,1,1.089,1,1.0959,1.0878,1,1,1,1,1.0857,1.0951,1,1,1.0988,1,1,1.0932,1,1.0963,1,1
1,1,1.0841,1,1,1,1,1,1.0929,1,1.0838,1,1,1,1,1,1,1,1,1,1,1,1.0841,1,1,1,1,1,1.0929,1,1.0838,1,1,1,1,1,1,1,1,1,1,1,1.0841,1,1,1,1,1,1.0929,1,1.0838,1,1,1,1,1,1,1,1,1,1,1,1.0841,1,1,1,1,1,1.0929,1,1.0838,1,1,1,1,1,1,1,1,1,1,1,1.0841,1,1,1,1,1,1.0929,1,1.0838,1,1,1,1,1,1,1,1,1,1,1,1.0841,1,1,1,1,1,1.0929,1,1.0838,1,1,1,1,1,1,1,1,1,1,1,1.0841,1,1,1,1,1,1.0929,1,1.0838,1,1,1,1,1,1,1,1,1,1,1,1.0841,1,1,1,1,1,1.0929,1,1.0838,1,1,1,1,1,1,1,1,1,1,1,1.0841,1,1,1,1,1,1.0929,1,1.0838,1,1,1,1,1,1,1,1,1,1,1,1.0841,1,1,1,1,1,1.0929,1,1.0838,1,1,1,1,1,1,1,1,1,1,1,1.0841,1,1,1,1,1,1.0929,1,1.0838,1,1,1,1,1,1,1,1,1,1,1,1.0841,1,1,1,1,1,1.0929,1,1.0838,1,1,1,1,1,1,1,1,1,1,1,1.0841,1,1,1,1,1,1.0929,1,1.0838,1,1,1,1,1
1.0877,1,1.0857,1,1,1,1,1.0832,1,1,1,1.0826,1.0801,1,1,1.0901,1,1,1,1,1.0877,1,1.0857,1,1,1,1,1.0832,1,1,1,1.0826,1.0801,1,1,1.0901,1,1,1,1,1.0877,1,1.0857,1,1,1,1,1.0832,1,1,1,1.0826,1.0801,1,1,1.0901,1,1,1,1,1.0877,1,1.0857,1,1,1,1,1.0832,1,1,1,1.0826,1.0801,1,1,1.0901,1,1,1,1,1.0877,1,1.0857,1,1,1,1,1.0832,1,1,1,1.0826,1.0801,1,1,1.0901,1,1,1,1,1.0877,1,1.0857,1,1,1,1,1.0832,1,1,1,1.0826,1.0801,1,1,1.0901,1,1,1,1,1.0877,1,1.0857,1,1,1,1,1.0832,1,1,1,1.0826,1.0801,1,1,1.0901,1,1,1,1,1.0877,1,1.0857,1,1,1,1,1.0832,1,1,1,1.0826,1.0801,1,1,1.0901,1,1,1,1,1.0877,1,1.0857,1,1,1,1,1.0832,1,1,1,1.0826,1.0801,1,1,1.0901,1,1,1,1,1.0877,1,1.0857,1,1,1,1,1.0832,1,1,1,1.0826,1.0801,1,1,1.0901,1,1,1,1,1.0877,1,1.0857,1,1,1,1,1.0832,1,1,1,1.0826,1.0801,1,1,1.0901,1,1,1,1,1.0877,1,1.0857,1,1,1,1,1.0832,1,1,1,1.0826,1.0801,1,1,1.0901,1,1,1,1,1.0877,1,1.0857,1,1,1,1,1.0832,1,1,1,1.0826,1.0801,1,1,1.0901
1,1.0915,1.0964,1.0803,1.0979,1,1,1.081,1,1,1,1,1,1,1,1.0995,1,1,1,1,1,1.0915,1.0964,1.0803,1.0979,1,1,1.081,1,1,1,1,1,1,1,1.0995,1,1,1,1,1,1.0915,1.0964,1.0803,1.0979,1,1,1.081,1,1,1,1,1,1,1,1.0995,1,1,1,1,1,1.0915,1.0964,1.0803,1.0979,1,1,1.081,1,1,1,1,1,1,1,1.0995,1,1,1,1,1,1.0915,1.0964,1.0803,1.0979,1,1,1.081,1,1,1,1,1,1,1,1.0995,1,1,1,1,1,1.0915,1.0964,1.0803,1.0979,1,1,1.081,1,1,1,1,1,1,1,1.0995,1,1,1,1,1,1.0915,1.0964,1.0803,1.0979,1,1,1.081,1,1,1,1,1,1,1,1.0995,1,1,1,1,1,1.0915,1.0964,1.0803,1.0979,1,1,1.081,1,1,1,1,1,1,1,1.0995,1,1,1,1,1,1.0915,1.0964,1.0803,1.0979,1,1,1.081,1,1,1,1,1,1,1,1.0995,1,1,1,1,1,1.0915,1.0964,1.0803,1.0979,1,1,1.081,1,1,1,1,1,1,1,1.0995,1,1,1,1,1,1.0915,1.0964,1.0803,1.0979,1,1,1.081,1,1,1,1,1,1,1,1.0995,1,1,1,1,1,1.0915,1.0964,1.0803,1.0979,1,1,1.081,1,1,1,1,1,1,1,1.0995,1,1,1,1,1,1.0915,1.0964,1.0803,1.0979,1,1,1.081,1,1,1,1,1,1,1,1.0995
1,1,1,1.0999,1,1.0831,1,1,1,1.0822,1.0999,1,1.0821,1,1.0974,1,1,1,1,1.0926,1,1,1,1.0999,1,1.0831,1,1,1,1.0822,1.0999,1,1.0821,1,1.0974,1,1,1,1,1.0926,1,1,1,1.0999,1,1.0831,1,1,1,1.0822,1.0999,1,1.0821,1,1.0974,1,1,1,1,1.0926,1,1,1,1.0999,1,1.0831,1,1,1,1.0822,1.0999,1,1.0821,1,1.0974,1,1,1,1,1.0926,1,1,1,1.0999,1,1.0831,1,1,1,1.0822,1.0999,1,1.0821,1,1.0974,1,1,1,1,1.0926,1,1,1,1.0999,1,1.0831,1,1,1,1.0822,1.0999,1,1.0821,1,1.0974,1,1,1,1,1.0926,1,1,1,1.0999,1,1.0831,1,1,1,1.0822,1.0999,1,1.0821,1,1.0974,1,1,1,1,1.0926,1,1,1,1.0999,1,1.0831,1,1,1,1.0822,1.0999,1,1.0821,1,1.0974,1,1,1,1,1.0926,1,1,1,1.0999,1,1.0831,1,1,1,1.0822,1.0999,1,1.0821,1,1.0974,1,1,1,1,1.0926,1,1,1,1.0999,1,1.0831,1,1,1,1.0822,1.0999,1,1.0821,1,1.0974,1,1,1,1,1.0926,1,1,1,1.0999,1,1.0831,1,1,1,1.0822,1.0999,1,1.0821,1,1.0974,1,1,1,1,1.0926,1,1,1,1.0999,1,1.0831,1,1,1,1.0822,1.0999,1,1.0821,1,1.0974,1,1,1,1,1.0926,1,1,1,1.0999,1,1.0831,1,1,1,1.0822,1.0999,1,1.0821,1,1.0974,1
1.0814,1,1,1.0981,1,1,1,1,1,1,1,1,1.0841,1.0905,1.0972,1,1,1,1,1,1.0814,1,1,1.0981,1,1,1,1,1,1,1,1,1.0841,1.0905,1.0972,1,1,1,1,1,1.0814,1,1,1.0981,1,1,1,1,1,1,1,1,1.0841,1.0905,1.0972,1,1,1,1,1,1.0814,1,1,1.0981,1,1,1,1,1,1,1,1,1.0841,1.0905,1.0972,1,1,1,1,1,1.0814,1,1,1.0981,1,1,1,1,1,1,1,1,1.0841,1.0905,1.0972,1,1,1,1,1,1.0814,1,1,1.0981,1,1,1,1,1,1,1,1,1.0841,1.0905,1.0972,1,1,1,1,1,1.0814,1,1,1.0981,1,1,1,1,1,1,1,1,1.0841,1.0905,1.0972,1,1,1,1,1,1.0814,1,1,1.0981,1,1,1,1,1,1,1,1,1.0841,1.0905,1.0972,1,1,1,1,1,1.0814,1,1,1.0981,1,1,1,1,1,1,1,1,1.0841,1.0905,1.0972,1,1,1,1,1,1.0814,1,1,1.0981,1,1,1,1,1,1,1,1,1.0841,1.0905,1.0972,1,1,1,1,1,1.0814,1,1,1.0981,1,1,1,1,1,1,1,1,1.0841,1.0905,1.0972,1,1,1,1,1,1.0814,1,1,1.0981,1,1,1,1,1,1,1,1,1.0841,1.0905,1.0972,1,1,1,1,1,1.0814,1,1,1.0981,1,1,1,1,1,1,1,1,1.0841,1.0905,1.0972,1
1.0898,1,1,1,1,1,1,1,1,1,1,1,1,1.0884,1,1,1,1,1,1,1.0898,1,1,1,1,1,1,1,1,1,1,1,1,1.0884,1,1,1,1,1,1,1.0898,1,1,1,1,1,1,1,1,1,1,1,1,1.0884,1,1,1,1,1,1,1.0898,1,1,1,1,1,1,1,1,1,1,1,1,1.0884,1,1,1,1,1,1,1.0898,1,1,1,1,1,1,1,1,1,1,1,1,1.0884,1,1,1,1,1,1,1.0898,1,1,1,1,1,1,1,1,1,1,1,1,1.0884,1,1,1,1,1,1,1.0898,1,1,1,1,1,1,1,1,1,1,1,1,1.0884,1,1,1,1,1,1,1.0898,1,1,1,1,1,1,1,1,1,1,1,1,1.0884,1,1,1,1,1,1,1.0898,1,1,1,1,1,1,1,1,1,1,1,1,1.0884,1,1,1,1,1,1,1.0898,1,1,1,1,1,1,1,1,1,1,1,1,1.0884,1,1,1,1,1,1,1.0898,1,1,1,1,1,1,1,1,1,1,1,1,1.0884,1,1,1,1,1,1,1.0898,1,1,1,1,1,1,1,1,1,1,1,1,1.0884,1,1,1,1,1,1,1.0898,1,1,1,1,1,1,1,1,1,1,1,1,1.0884,1,1
1,1,1,1,1.0909,1,1,1,1,1,1,1,1,1,1.086,1,1,1,1,1,1,1,1,1,1.0909,1,1,1,1,1,1,1,1,1,1.086,1,1,1,1,1,1,1,1,1,1.0909,1,1,1,1,1,1,1,1,1,1.086,1,1,1,1,1,1,1,1,1,1.0909,1,1,1,1,1,1,1,1,1,1.086,1,1,1,1,1,1,1,1,1,1.0909,1,1,1,1,1,1,1,1,1,1.086,1,1,1,1,1,1,1,1,1,1.0909,1,1,1,1,1,1,1,1,1,1.086,1,1,1,1,1,1,1,1,1,1.0909,1,1,1,1,1,1,1,1,1,1.086,1,1,1,1,1,1,1,1,1,1.0909,1,1,1,1,1,1,1,1,1,1.086,1,1,1,1,1,1,1,1,1,1.0909,1,1,1,1,1,1,1,1,1,1.086,1,1,1,1,1,1,1,1,1,1.0909,1,1,1,1,1,1,1,1,1,1.086,1,1,1,1,1,1,1,1,1,1.0909,1,1,1,1,1,1,1,1,1,1.086,1,1,1,1,1,1,1,1,1,1.0909,1,1,1,1,1,1,1,1,1,1.086,1,1,1,1,1,1,1,1,1,1.0909,1,1,1,1,1,1,1,1,1,1.086,1
1,1,1,1,1,1.0932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0932,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1.09,1.0835,1,1,1,1,1,1.083,1,1,1,1.0962,1,1,1,1.0865,1,1,1,1,1.09,1.0835,1,1,1,1,1,1.083,1,1,1,1.0962,1,1,1,1.0865,1,1,1,1,1.09,1.0835,1,1,1,1,1,1.083,1,1,1,1.0962,1,1,1,1.0865,1,1,1,1,1.09,1.0835,1,1,1,1,1,1.083,1,1,1,1.0962,1,1,1,1.0865,1,1,1,1,1.09,1.0835,1,1,1,1,1,1.083,1,1,1,1.0962,1,1,1,1.0865,1,1,1,1,1.09,1.0835,1,1,1,1,1,1.083,1,1,1,1.0962,1,1,1,1.0865,1,1,1,1,1.09,1.0835,1,1,1,1,1,1.083,1,1,1,1.0962,1,1,1,1.0865,1,1,1,1,1.09,1.0835,1,1,1,1,1,1.083,1,1,1,1.0962,1,1,1,1.0865,1,1,1,1,1.09,1.0835,1,1,1,1,1,1.083,1,1,1,1.0962,1,1,1,1.0865,1,1,1,1,1.09,1.0835,1,1,1,1,1,1.083,1,1,1,1.0962,1,1,1,1.0865,1,1,1,1,1.09,1.0835,1,1,1,1,1,1.083,1,1,1,1.0962,1,1,1,1.0865,1,1,1,1,1.09,1.0835,1,1,1,1,1,1.083,1,1,1,1.0962,1,1,1,1.0865,1,1,1,1,1.09,1.0835,1,1,1,1,1,1.083,1,1,1,1.0962
